,0
2020-01-02,-1.846599670619378
2020-01-03,-2.300659000108409
2020-01-04,-1.61678155945549
2020-01-05,-1.6189464127361146
2020-01-06,-0.09619933700933014
2020-01-07,-1.2932499898625562
2020-01-08,-0.9170872513582731
2020-01-09,-0.2914791869399487
2020-01-10,-1.1784375253804213
2020-01-11,-1.5834603222914878
2020-01-12,-1.5396039573866385
2020-01-13,-3.815789062890288
2020-01-14,-1.8307050473138964
2020-01-15,-3.349087391293086
2020-01-16,-3.1982623566318282
2020-01-17,-2.5115188401831854
2020-01-18,-3.2498904109402877
2020-01-19,-4.215593611982996
2020-01-20,-2.97164770945484
2020-01-21,-3.963802488938424
2020-01-22,-3.536475879892876
2020-01-23,-3.616656788850419
2020-01-24,-2.8512347490221415
2020-01-25,-4.274833360951872
2020-01-26,-4.3396351329293905
2020-01-27,-3.201952273834217
2020-01-28,-1.362264290530096
2020-01-29,-0.44222248092359207
2020-01-30,-0.3875508516418208
2020-01-31,-0.7568014664996328
2020-02-01,-1.766533377275243
2020-02-02,-2.0166345090185596
2020-02-03,-1.78267641281502
2020-02-04,-3.2022961670879915
2020-02-05,-3.4756552532414022
2020-02-06,-3.5072612905281466
2020-02-07,-4.3486749441888275
2020-02-08,-4.009339007330119
2020-02-09,-2.798516615706982
2020-02-10,-2.6237963462920995
2020-02-11,-3.2402811620739604
2020-02-12,-2.099924249836926
2020-02-13,-1.741962124663698
2020-02-14,-3.568812980229162
2020-02-15,-2.4109722734387056
2020-02-16,-1.4197326429355328
2020-02-17,-1.8265006392139922
2020-02-18,-0.314399842088644
2020-02-19,-1.4891287140462892
2020-02-20,-0.40333200549546055
2020-02-21,-0.4774476205155233
2020-02-22,-0.4261394600972251
2020-02-23,-0.9865369958094261
2020-02-24,-1.722398459039086
2020-02-25,-1.101526791346352
2020-02-26,-0.45175149534083914
2020-02-27,-0.5206958039831341
2020-02-28,-1.0377635683622166
2020-02-29,-1.4216605420430821
2020-03-01,-2.0466675319031795
2020-03-02,-4.035297062839362
